,ID,brand,model,year,worked,price,color,engine_status,chassis_status,body_status,insurance_deadline
0,QYaSIycd,land-rover,,1987,76000,160000000,آبی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
1,QYq-D2SF,peugeot,206,1395,110000,183000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,6
2,QYqCUDLr,peugeot,206-sd,1396,62000,240000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
3,QYqyj72F,peugeot,405,1384,333000,48000000,خاکستری,,,,4
4,QYqyDse2,pride,sedan,1381,200000,35000000,سفید,سالم,,دوررنگ,12
5,QYquTSmH,saina,manual,1400,47,183000000,نوکu200cمدادی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
6,QYq6Tl7p,peugeot,207i,1400,0,350000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
7,QYqyzH8X,samand,lx,1399,27000,240000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
8,QYqyzBtY,paykan,pickup,1392,170000,122000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,9
9,QYqyTADw,peugeot,pars,1398,31000,248000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
10,QYquj811,peugeot,2008,1398,19000,1030000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
11,QYqyTCed,peugeot,405,1391,150000,117000000,خاکستری,سالم,سالم و پلمپ,دوررنگ,3
12,QYqqjNzt,runna,el,1391,196000,145000000,سفید,سالم,,,10
13,QYe-CXG4,peugeot,pars,1395,80,195000000,نوکu200cمدادی,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,9
14,QYqyjEbx,samand,se,1391,280000,115000000,سفید,سالم,,,7
15,QYquDWcv,peugeot,207i,1399,50000,312000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
16,QYqKAL0-,peugeot,pars,1388,230000,136000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,12
17,QYqij0TW,brilliance,h220,1397,95000,235000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
18,QYqqTfy-,toyota,aurion,2011,40000,2600000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,2
19,QYqqzOwj,dongfeng,h30-cross,1395,69000,325000000,اطلسی,سالم,,,6
20,QYqiDULk,renault,pars-tondar,1394,128000,238000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
21,QYaGFlps,renault,tondar-90-plus,1398,0,550000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
22,QYqmDJz9,paykan,petrol,1366,200000,45000000,آبی,سالم,رنگu200cشده,دوررنگ,2
23,QYqezAA4,renault,sandero-stepway,1397,36000,530000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
24,QYqeD4WA,peugeot,pars,1396,50000,219000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
25,QYRy_emk,kia,sorento,2012,176000,1150000000,قهوهu200cای,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
26,QYqeDITl,peugeot,206,1391,91000,148000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
27,QYqajUGd,peugeot,207i,1398,40000,298000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
28,QYqijM0v,pride,131,1395,69800,120000000,نوکu200cمدادی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
29,QYqajkt3,pride,131,1398,45000,118000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
30,QYqajZ1p,kia,cerato,2012,123000,535000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
31,QYqaDiZ9,kia,cerato,2013,108000,580000000,سفید صدفی,سالم,سالم و پلمپ,رنگu200cشدگی، در چند ناحیه,11
32,QYqazakX,tiba,hatchback,1398,35000,156000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
33,QYqaj-Gg,peugeot,roa,1387,350000,70000000,نوکu200cمدادی,سالم,سالم و پلمپ,دوررنگ,4
34,QYqSjqpI,peugeot,207i,1396,45000,319000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
35,QYqSzjWS,peugeot,405,1385,402000,90000000,نقرهu200cای,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,6
36,QYqSTa2G,hyundai,elantra,2015,9000,1200000000,کرم,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
37,QYqaTUh3,paykan,pickup,1388,300000,85000000,سفید,سالم,,رنگu200cشدگی، در چند ناحیه,12
38,QYa6QmZm,mvm,x33s,1400,10000,169000000,نوکu200cمدادی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
39,QYqawh5Z,samand,lx,1398,41000,209000000,آبی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
40,QYqKDlUp,pride,sedan,1389,290000,67500000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
41,QYDt5bim,zamyad,z-24,1400,0,287000000,آبی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
42,QYjmTmQu,renault,tondar-90,1397,13000,360000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
43,QYoOLlZ9,peugeot,207i,1399,10000,330000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
44,QYk6dFVt,hyundai,santafe-ix45,2015,48000,1530000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
45,QYqOjiv_,daewoo,matiz,1381,60000,45000000,بژ,سالم,سالم و پلمپ,دوررنگ,5
46,QYqCDZe_,hyundai,azera-grandeur,2008,185000,579000000,مشکی,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,11
47,QYmuTsYW,peugeot,206,1392,175000,137000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,8
48,QYqKDgPx,shahin,g,1400,100,350000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
49,QYqCT_Mw,peugeot,405,1381,404000,57000000,یشمی,سالم,سالم و پلمپ,دوررنگ,4
50,QYqeVzk9,peugeot,405,1395,190000,120000000,زرد,سالم,,رنگu200cشدگی، در چند ناحیه,12
51,QYqWVxqd,renault,sandero-stepway,1396,35000,496000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
52,QYqWFuRh,lexus,nx-200t,2016,40000,3000000000,تیتانیوم,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
53,QYqmVogX,paykan,petrol,1383,13000,110000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
54,QYq-lkyn,kia,rio-ir,1385,370,120000000,نوکu200cمدادی,سالم,سالم و پلمپ,خط و خش جزیی,5
55,QYjqNjzP,pride,131,1394,155100,112000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,5
56,QYq21FXR,mvm,x33,1394,25000,350000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
57,QYqKWe5l,peugeot,405,1396,56000,180000000,نوکu200cمدادی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
58,QYqKmaaD,hyundai,avante,1386,250,295000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
59,QYqK2Cng,peugeot,206,1384,300000,115000000,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,9
60,QYqW2ViU,peugeot,405,1395,82000,140000000,خاکستری,سالم,,تصادفی,12
61,QYqOGTpy,peugeot,207i,1399,23000,315000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
62,QYqO2QWD,mvm,x33,1393,105000,285000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,2
63,QYqiGmRN,tiba,sedan,1400,2000,167000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
64,QYqOmIPY,peugeot,pars,1399,4000,269000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
65,QYrSF2t1,kia,cerato-ir,1397,72000,720000000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,10
66,QYrO1rBV,samand,soren-plus,1400,0,310000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
67,QYrW1d1o,pride,sedan,1389,180000,68000000,خاکستری,سالم,سالم و پلمپ,رنگu200cشدگی، در ۱ ناحیه,12
68,QYrW1pdr,mercedes-benz,e-class-coupe,2012,134000,2950000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
69,wX5LnLZy,chery,arrizo-6,1400,0,262000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
70,QYrK1k6b,bmw,x4,2017,80000,4000000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
71,QYra1jHd,dena,basic,1395,127000,245000000,مشکی,سالم,,سالم و بیu200cخط و خش,4
72,QYrSFUt9,jac,s5,1397,36000,690000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
73,QY3gAPvY,quick,manual,1400,0,185000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
74,QYrWJNDu,peugeot,405,1394,115000,176000000,نقرهu200cای,سالم,سالم و پلمپ,صافکاری بیu200cرنگ، در ۱ ناحیه,5
75,QYre5EcG,peugeot,pars,1389,200000,110000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
76,QYraZtuZ,nissan,patrol-4-door,1376,240000,240000000,یشمی,سالم,سالم و پلمپ,دوررنگ,6
77,QYrap4uW,peugeot,pars,1399,0,269000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,1
78,QYrS5xLQ,great-wall,c30,1391,160000,198000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
79,QYraZwCe,haima,s7-plus,1400,0,800000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
80,QYraZ0wd,peugeot,pars,1394,113000,187000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
81,QYrSpMgs,peugeot,405,1396,108000,152000000,خاکستری,سالم,,,6
82,QYrSJfFW,peugeot,206,1394,170000,180000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,6
83,QYrO5Pcz,hyundai,santafe-ix45,2015,80000,1420000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
84,QYrK5yxb,renault,tondar-90,1395,110000,270000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,5
85,QYrSZ_XO,peugeot,405,1396,190000,175000000,زرد,سالم,,,6
86,QYrK5bwh,pride,131,1392,190,95000000,سفید,سالم,,سالم و بیu200cخط و خش,7
87,QYraZEcS,chery,tiggo-7,1398,6000,915000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,1
88,QYreJpgE,pride,132,1390,200000,69000000,سفید صدفی,سالم,,رنگu200cشدگی در ۱ ناحیه,9
89,QYreJkGx,peugeot,206-sd,1400,15000,299000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
90,QYrioI_A,kia,cerato,2012,123000,535000000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,12
91,QYrS5KE4,peugeot,pars,1400,4100,276000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
